epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.556,1.24206,2.99396,1.34679,0.0043,1,0.2432,0.13845,1.4478,2.90232,1.48238,0.000327044,0.000327044,0.0676226
2,580.371,1.08025,1.99457,1.1206,0.19879,0.85499,0.25392,0.17421,1.16805,1.91993,1.13452,0.00065384,0.00065384,0.0346161
